constructorId,url,name,nationality,year
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,1975
boro,http://en.wikipedia.org/wiki/Boro_(Formula_One),Boro,Dutch,1976
brabham-alfa_romeo,http://en.wikipedia.org/wiki/Brabham,Brabham-Alfa Romeo,British,1976
brabham-ford,http://en.wikipedia.org/wiki/Brabham,Brabham-Ford,British,1976
brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1976
ensign,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29,Ensign,British,1976
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1976
fittipaldi,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29,Fittipaldi,Brazilian,1976
hesketh,http://en.wikipedia.org/wiki/Hesketh_Racing,Hesketh,British,1976
kojima,http://en.wikipedia.org/wiki/Kojima_Engineering,Kojima,Japanese,1976
ligier,http://en.wikipedia.org/wiki/Ligier,Ligier,French,1976
maki,http://en.wikipedia.org/wiki/Maki_(cars),Maki,Japanese,1976
march,http://en.wikipedia.org/wiki/March_Engineering,March,British,1976
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,1976
parnelli,http://en.wikipedia.org/wiki/Parnelli,Parnelli,American,1976
penske,http://en.wikipedia.org/wiki/Penske_Racing,Penske,American,1976
shadow,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow,British,1976
surtees,http://en.wikipedia.org/wiki/Surtees,Surtees,British,1976
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British,1976
tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British,1976
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,1976
wolf,http://en.wikipedia.org/wiki/Walter_Wolf_Racing,Wolf,Canadian,1976
apollon,http://en.wikipedia.org/wiki/Apollon_(Formula_One),Apollon,Swiss,1977
boro,http://en.wikipedia.org/wiki/Boro_(Formula_One),Boro,Dutch,1977
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British,1977
brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1977
ensign,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29,Ensign,British,1977
