constructorId,url,name,nationality,year
vhristensen,http://en.wikipedia.org/wiki/Christensen_(constructor),Christensen,American,1960
cooper-castellotti,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Castellotti,British,1960
cooper-climax,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Climax,British,1960
cooper-maserati,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Maserati,British,1960
epperly,http://en.wikipedia.org/wiki/Epperly,Epperly,American,1960
ewing,http://en.wikipedia.org/wiki/Ewing_(constructor),Ewing,American,1960
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1960
jbw,http://en.wikipedia.org/wiki/JBW,JBW,British,1960
kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American,1960
kuzma,http://en.wikipedia.org/wiki/Kuzma_(constructor),Kuzma,American,1960
lesovsky,http://en.wikipedia.org/wiki/Lesovsky,Lesovsky,American,1960
maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian,1960
meskowski,http://en.wikipedia.org/wiki/Meskowski,Meskowski,American,1960
phillips,http://en.wikipedia.org/wiki/Phillips_(constructor),Phillips,American,1960
porsche,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,Porsche,German,1960
scarab,http://en.wikipedia.org/wiki/Scarab_(constructor),Scarab,American,1960
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British,1960
trevis,http://en.wikipedia.org/wiki/Trevis,Trevis,American,1960
vanwall,http://en.wikipedia.org/wiki/Vanwall,Vanwall,British,1960
watson,http://en.wikipedia.org/wiki/A.J._Watson,Watson,American,1960
brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1961
cooper-climax,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Climax,British,1961
cooper-maserati,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Maserati,British,1961
de_tomaso-alfa_romeo,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Alfa Romeo,Italian,1961
de_tomaso-osca,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Osca,Italian,1961
emeryson,http://en.wikipedia.org/wiki/Emeryson,Emeryson,British,1961
ferguson,http://en.wikipedia.org/wiki/Ferguson_Research_Ltd.,Ferguson,British,1961
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1961
gilby,http://en.wikipedia.org/wiki/Gilby,Gilby,British,1961
jbw,http://en.wikipedia.org/wiki/JBW,JBW,British,1961
